item	layer	value
GC_00003423	IB_GCA_0041217951_Brazil_1992	1
GC_00003423	IB_GCA_0041218051_Brazil_1993	1
GC_00003423	IB_GCA_0041218151_Brazil_1994	1
GC_00003423	IB_GCA_0041218351_Brazil_1994	1
GC_00003423	IB_GCA_0041218751_Brazil_1994	1
GC_00003423	IB_GCA_0041218951_Brazil_1991	1
GC_00003423	IB_GCA_0041219051_Brazil_1992	1
GC_00003423	IB_GCA_0041219151_Brazil_1992	1
GC_00003423	IB_GCA_0041219451_Brazil_1993	1
GC_00003423	IB_GCA_0041219651_Brazil_1994	1
GC_00003423	IB_GCA_0041220051_Brazil_1993	1
GC_00003423	IB_GCA_0041220151_Brazil_1994	1
GC_00003423	IB_GCA_0041220251_Brazil_1991	0
GC_00003423	IB_GCA_0041232051_Brazil_1993	0
GC_00003423	IB_GCA_0041232151_Brazil_1993	1
GC_00003423	IB_GCA_0041232251_Brazil_1992	1
GC_00003423	IB_GCA_0097282251_Russia_1987	1
GC_00003423	IB_GCA_0130850751_Peru_1991	1
GC_00003423	IB_GCA_0130851051_Peru_1991	1
GC_00003423	IB_GCA_0154828251_Peru_1991	1
GC_00003423	IB_GCA_0157543751_Bangladesh_1983	1
GC_00003423	IB_GCA_0157547451_Bangladesh_1993	1
GC_00003423	IB_GCA_0157548351_Japan_1980	1
GC_00003423	IB_GCA_0157549051_Japan_1980	1
GC_00003423	Reference	1
GC_00003423	SA_INS1T0055A96_Peru_1996	0
GC_00003423	SA_INS1T0056A96_Peru_1996	1
GC_00003423	SA_INS1T0057A96_Peru_1996	0
GC_00003423	SA_INS1T0143A96_Peru_1996	1
GC_00003423	SA_INS1T0207A92_Peru_1991	1
GC_00003423	SA_INS1T074A94_Peru_1994	1
GC_00003423	SA_INS1T081A94_Peru_1994	1
GC_00003423	SA_INS1T093A94_Peru_1994	1
GC_00003423	SA_INS1T094A94_Peru_1994	1
GC_00003423	SA_INS1T112A13_Peru_2013	0
GC_00003423	SA_INS1T120A93_Peru_1992	1
GC_00003423	SA_INS1T1336A92_Peru_1992	0
GC_00003423	SA_INS1T1345A92_Peru_1992	0
GC_00003423	SA_INS1T1357A92_Peru_1992	1
GC_00003423	SA_INS1T144A93_Peru_1993	1
GC_00003423	SA_INS1T156A91_Peru_2015	1
GC_00003423	SA_INS1T1600A92_Peru_1992	1
GC_00003423	SA_INS1T1618A92_Peru_1992	0
GC_00003423	SA_INS1T1688A98_Peru_1998	0
GC_00003423	SA_INS1T171A95_Peru_1995	0
GC_00003423	SA_INS1T174A91_Peru_1991	0
GC_00003423	SA_INS1T1758A98_Peru_1998	1
GC_00003423	SA_INS1T177A91_Peru_1991	0
GC_00003423	SA_INS1T180A91_Peru_1991	0
GC_00003423	SA_INS1T1824A98_Peru_1998	1
GC_00003423	SA_INS1T183A91_Peru_1991	0
GC_00003423	SA_INS1T188A91_Peru_1991	1
GC_00003423	SA_INS1T188A93_Peru_1992	0
GC_00003423	SA_INS1T2050A98_Peru_1998	0
GC_00003423	SA_INS1T230A95_Peru_1995	1
GC_00003423	SA_INS1T236A91_Peru_1991	0
GC_00003423	SA_INS1T239A91_Peru_1991	0
GC_00003423	SA_INS1T2444A92_Peru_1992	1
GC_00003423	SA_INS1T253A91_Peru_1991	1
GC_00003423	SA_INS1T258A91_Peru_1991	0
GC_00003423	SA_INS1T2658A92_Peru_1992	0
GC_00003423	SA_INS1T346A95_Peru_1995	1
GC_00003423	SA_INS1T357A91_Peru_1991	0
GC_00003423	SA_INS1T372A91_Peru_1991	0
GC_00003423	SA_INS1T3852A92_Peru_1992	1
GC_00003423	SA_INS1T3867A92_Peru_1992	1
GC_00003423	SA_INS1T3887A92_Peru_1992	0
GC_00003423	SA_INS1T419A91_Peru_1991	1
GC_00003423	SA_INS1T457A10_Argentina_2010	1
GC_00003423	SA_INS1T4598A92_Peru_1992	1
GC_00003423	SA_INS1T485A93_Peru_1993	1
GC_00003423	SA_INS1T6014A92_Peru_1992	1
GC_00003423	SA_INS1T6189A92_Peru_1992	1
GC_00003423	SA_INS1T6195A92_Peru_1992	1
GC_00003423	SA_INS1T6201A92_Peru_1992	1
GC_00003423	SA_INS1T6208A92_Peru_1992	0
GC_00003423	SA_INS1T6211A92_Peru_1992	0
GC_00003423	SA_INS1T663A93_Peru_1993	1
GC_00003423	SA_INS1T6910A92_Peru_1992	1
GC_00003423	SA_INS1T777A93_Peru_1993	0
GC_00003423	SA_INS1T8232A92_Peru_1992	1
GC_00003423	SA_INS1T8238A92_Peru_1992	0
GC_00003423	SA_INS1T8240A92_Peru_1992	0
GC_00003423	SA_INS1T8242A92_Peru_1992	0
GC_00003423	SA_INS1T8244A92_Peru_1992	0
GC_00003423	SA_INS1T8276A92_Peru_1992	1
GC_00003423	SA_INS1T8643A92_Peru_1992	0
GC_00003423	SA_INS1T934A93_Peru_1993	1
GC_00003423	SA_INS2T0025A96_Peru_1996	1
GC_00003423	SA_INS2T008A03_Peru_2002	0
GC_00003423	SA_INS2T018A99_Peru_1998	0
GC_00003423	SA_INS2T0883A93_Peru_1993	1
GC_00003423	SA_INS2T090A99_Peru_1999	1
GC_00003423	SA_INS2T1028A92_Peru_1992	0
GC_00003423	SA_INS2T106A95_Peru_1995	1
GC_00003423	SA_INS2T121A95_Peru_1995	1
GC_00003423	SA_INS2T1300A91_Peru_1991	0
GC_00003423	SA_INS2T177A99_Peru_1999	0
GC_00003423	SA_INS2T2224A92_Peru_1992	0
GC_00003423	SA_INS2T222A91_Peru_1991	1
GC_00003423	SA_INS2T2230A92_Peru_1992	0
GC_00003423	SA_INS2T2231A92_Peru_1992	1
GC_00003423	SA_INS2T2245A92_Peru_1992	1
GC_00003423	SA_INS2T2246A92_Peru_1992	0
GC_00003423	SA_INS2T2247A92_Peru_1992	0
GC_00003423	SA_INS2T229A94_Peru_1994	1
GC_00003423	SA_INS2T232A94_Peru_1994	1
GC_00003423	SA_INS2T2432A98_Peru_1998	1
GC_00003423	SA_INS2T2435A98_Peru_1998	1
GC_00003423	SA_INS2T258A99_Peru_1999	1
GC_00003423	SA_INS2T271A94_Peru_1994	0
GC_00003423	SA_INS2T3110A98_Peru_1998	1
GC_00003423	SA_INS2T3116A98_Peru_1998	0
GC_00003423	SA_INS2T421A91_Peru_1991	0
GC_00003423	SA_INS2T422A91_Peru_1991	1
GC_00003423	SA_INS2T424A91_Peru_1991	0
GC_00003423	SA_INS2T4803A92_Peru_1992	1
GC_00003423	SA_INS2T4804A92_Peru_1992	1
GC_00003423	SA_INS2T4860A92_Peru_1992	1
GC_00003423	SA_INS2T4867A92_Peru_1992	0
GC_00003423	SA_INS2T509A03_Peru_2003	1
GC_00003423	SA_INS2T549A95_Peru_1995	1
GC_00003423	SA_INS2T7566A92_Peru_1992	1
GC_00003423	SA_INS2T7577A92_Peru_1992	0
GC_00003423	SA_INS2T844A91_Peru_1991	0
GC_00003423	SA_INS3T225A95_Peru_1995	0
GC_00003423	SA_INS3T226A95_Peru_1995	0
GC_00003423	SA_INS4T148A99_Peru_1999	1
GC_00003423	SA_INS5T580A14_Peru_2014	0
GC_00003423	SA_INS5T8543A92_Peru_1992	1
GC_00003423	SA_VC135_Brazil_1993	0
GC_00003423	SA_VC153_Brazil_1991	1
GC_00003423	SA_VC20_Brazil_1993	1
GC_00003423	SA_VC394_Brazil_1996	1
GC_00003423	SA_VC450_Brazil_1993	1
GC_00003423	SA_VC50_Brazil_1995	0
GC_00003423	SA_VC588_Brazil_1999	0
GC_00003423	SA_VC641_Brazil_1996	0
GC_00003423	SA_VC655_Brazil_1994	0
GC_00003423	SA_VC669_Brazil_1993	1
GC_00003423	SA_VC726_Brazil_1992	1
GC_00003423	SA_VC894_Brazil_1994	1
GC_00003423	SA_VC897_Brazil_1994	1
GC_00003423	SA_VC898_Brazil_1993	1
GC_00003423	SA_VC905_Brazil_1992	1
GC_00003423	SA_VC908_Brazil_1991	0
GC_00003423	SC_ERR018146_Colombia_1992	0
GC_00003423	SC_ERR018148_Colombia_1992	1
GC_00003423	SC_ERR018149_Colombia_1992	1
GC_00003423	SC_ERR018156_Colombia_1992	1
GC_00003423	SC_ERR018158_Argentina_1992	0
GC_00003423	SC_ERR018159_Mexico_1991	1
GC_00003423	SC_ERR018160_Bolivia_1992	1
GC_00003423	SC_ERR018161_Mexico_1991	0
GC_00003423	SC_ERR018167_Argentina_1992	1
GC_00003423	SC_ERR018168_Argentina_1992	1
GC_00003423	SC_ERR018169_Vietnam_1989	1
GC_00003423	SC_ERR018171_Vietnam_1989	1
GC_00003423	SC_ERR018177_Bangladesh_1987	0
GC_00003423	SC_ERR018181_Argentina_1993	0
GC_00003423	SC_ERR018189_India_1980	1
GC_00003423	SC_ERR025378_Peru_1991	1
GC_00003423	SC_ERR025381_Angola_1989	1
GC_00003423	SC_ERR025383_Bangladesh_1979	1
GC_00003423	SC_ERR025388_Peru_1991	1
GC_00003423	SC_ERR025389_Peru_1991	1
GC_00003423	SC_ERR025390_Peru_1991	1
GC_00003423	SC_ERR044780_Mexico_1991	1
GC_00003423	SC_ERR044782_Mexico_1992	1
GC_00003423	SC_ERR044784_Mexico_1993	1
GC_00003423	SC_ERR044787_Mexico_1994	1
GC_00003423	SC_ERR044788_Mexico_1995	1
GC_00003423	SC_ERR108518_Mexico_1999	1
GC_00003423	SC_ERR108522_Mexico_2000	1
GC_00003423	SC_ERR108535_Mexico_2004	1
GC_00003423	SC_ERR108536_Mexico_2005	1
GC_00003423	SC_ERR108537_Mexico_2006	1
GC_00003423	SC_ERR163233_Mexico_1991	1
GC_00003423	SC_ERR163234_Mexico_1991	1
GC_00003423	SC_ERR163235_Mexico_1991	1
GC_00003423	SC_ERR163236_Mexico_1991	1
GC_00003423	SC_ERR163237_Mexico_1991	1
GC_00003423	SC_ERR163238_Mexico_1992	1
GC_00003423	SC_ERR163239_Mexico_1992	1
GC_00003423	SC_ERR163245_Mexico_2004	1
GC_00003423	SC_ERR163246_Mexico_2004	1
GC_00003423	SC_ERR163247_Mexico_2004	1
GC_00003423	SC_ERR163248_Mexico_2004	1
GC_00003423	SC_ERR163249_Mexico_2007	1
GC_00003423	SC_ERR163253_Mexico_2008	1
GC_00003423	SC_ERR163254_Mexico_2008	1
GC_00003423	SC_ERR163255_Mexico_2008	1
GC_00003423	SC_ERR163256_Mexico_2008	1
GC_00003423	SC_ERR163259_Mexico_2010	1
GC_00003423	SC_ERR163260_Mexico_2010	1
GC_00003423	SC_ERR163263_Mexico_2010	1
GC_00003423	SC_ERR163268_Mexico_2010	1
GC_00003423	SC_ERR163271_Mexico_2010	1
GC_00003423	SC_ERR1877619_Uganda_1992	0
GC_00003423	SC_ERR1877636_Uganda_1992	1
GC_00003423	SC_ERR1879384_Cote_dIvoire_1988	1
GC_00003423	SC_ERR1879435_Cote_dIvoire_1988	1
GC_00003423	SC_ERR1879535_Cote_dIvoire_1988	1
GC_00003423	SC_ERR1879542_Cote_dIvoire_1988	1
GC_00003423	SC_ERR1879552_Sao_Tome_1989	1
GC_00003423	SC_ERR1879554_French_Guiana_1993	1
GC_00003423	SC_ERR1879571_Sri_Lanka_1981	1
GC_00003423	SC_ERR1879578_French_Guiana_1994	1
GC_00003423	SC_ERR1879579_Ecuador_1995	1
GC_00003423	SC_ERR1879657_Nigeria_1997	1
GC_00003423	SC_ERR2008340_Mexico_1991	1
GC_00003423	SC_ERR2008343_Mexico_1991	1
GC_00003423	SC_ERR2008344_Mexico_1991	1
GC_00003423	SC_ERR2008345_Mexico_1991	1
GC_00003423	SC_ERR2008346_Mexico_1991	1
GC_00003423	SC_ERR2008347_Mexico_1991	1
GC_00003423	SC_ERR2008348_Mexico_1992	1
GC_00003423	SC_ERR2008349_Mexico_1992	1
GC_00003423	SC_ERR2008350_Mexico_1992	1
GC_00003423	SC_ERR2008352_Mexico_1999	1
GC_00003423	SC_ERR2008358_Mexico_1992	1
GC_00003423	SC_ERR2008359_Mexico_1992	1
GC_00003423	SC_ERR2008360_Mexico_1992	1
GC_00003423	SC_ERR2008361_Mexico_1992	1
GC_00003423	SC_ERR2008362_Mexico_1992	1
GC_00003423	SC_ERR2008386_Mexico_1993	1
GC_00003423	SC_ERR2008389_Mexico_1993	1
GC_00003423	SC_ERR2008390_Mexico_1993	1
GC_00003423	SC_ERR2008412_Mexico_2000	1
GC_00003423	SC_ERR2008414_Mexico_2000	1
GC_00003423	SC_ERR2008433_Mexico_2000	1
GC_00003423	SC_ERR2008434_Mexico_2000	1
GC_00003423	SC_ERR2008750_Mexico_1998	1
GC_00003423	SC_ERR2008756_Bolivia_1991	1
GC_00003423	SC_ERR2008757_Brazil_1991	1
GC_00003423	SC_ERR2008758_Brazil_1991	1
GC_00003423	SC_ERR2008759_Brazil_1991	1
GC_00003423	SC_ERR2008760_Colombia_1991	1
GC_00003423	SC_ERR2008761_Colombia_1992	1
GC_00003423	SC_ERR2008762_Peru_1991	1
GC_00003423	SC_ERR576950_Chile_1991	1
GC_00003423	SC_ERR576973_Peru_1991	1
GC_00003423	SC_ERR576978_Mauritania_1986	1
GC_00003423	SC_ERR579064_China_1987	1
GC_00003423	SC_ERR579067_China_1986	1
GC_00003423	SC_ERR580006_Peru_1991	1
GC_00003423	SC_ERR976479_Burkina_Faso_1984	1
GC_00003423	SC_ERR976481_Mali_1985	1
GC_00003423	SC_ERR976485_Burkina_Faso_1984	1
GC_00003423	SC_ERR976486_Burkina_Faso_1984	1
GC_00003423	SC_ERR976488_Bolivia_1991	1
GC_00003423	SC_ERR976489_Brazil_1991	1
GC_00003423	SC_ERR976492_Brazil_1991	1
GC_00003423	SC_ERR976493_Brazil_1992	1
GC_00003423	SC_ERR976494_Bolivia_1992	1
GC_00003423	SC_ERR976495_Bolivia_1992	1
GC_00003423	SC_ERR976496_Bolivia_1992	1
GC_00003423	SC_ERR976497_Bolivia_1991	1
GC_00003423	SC_ERR976498_Angola_1988	1
GC_00003423	SC_ERR976499_Angola_1988	1
GC_00003423	SC_ERR976500_Angola_1988	1
GC_00003423	SC_ERR976501_Angola_1988	1
GC_00003423	SC_ERR976502_Angola_1988	1
GC_00003423	SC_ERR976503_Angola_1988	1
GC_00003423	SC_ERR976511_Cote_dIvoire_1988	1
GC_00003423	SC_ERR976512_Cote_dIvoire_1988	1
GC_00003423	SC_ERR976522_Angola_1992	1
GC_00003423	SC_ERR976532_Angola_1994	1
GC_00003423	SC_ERR976533_Angola_1994	1
GC_00003423	SC_ERR998664_Angola_1995	1
GC_00003423	SC_ERR998665_Angola_1995	1
GC_00003423	SC_GCA_0001764351_Mexico_1991	0
GC_00003423	SC_SRR227318_Mexico_2008	1
GC_00003423	SC_SRR227336_Peru_1991	1
GC_00003423	SC_SRR350623_Mexico_2000	1
GC_00003423	SC_SRR491161_Brazil_1992	1
GC_00003384	IB_GCA_0002377852_Peru_1991	1
GC_00003384	IB_GCA_0003047551_Mexico_2000	0
GC_00003384	IB_GCA_0018574351_Peru_1997	1
GC_00003384	IB_GCA_0028928551_USA_1992	1
GC_00003384	IB_GCA_0029972151_Peru_1992	1
GC_00003384	IB_GCA_0030976951_USA_1992	1
GC_00003384	IB_GCA_0041205651_Brazil_1994	1
GC_00003384	IB_GCA_0041206851_Brazil_1994	1
GC_00003384	IB_GCA_0041216851_Brazil_1994	1
GC_00003384	IB_GCA_0041216951_Brazil_1992	1
GC_00003384	IB_GCA_0041217351_Brazil_1994	1
GC_00003384	IB_GCA_0041217951_Brazil_1992	1
GC_00003384	IB_GCA_0041218051_Brazil_1993	1
GC_00003384	IB_GCA_0041218151_Brazil_1994	1
GC_00003384	IB_GCA_0041218351_Brazil_1994	1
GC_00003384	IB_GCA_0041218751_Brazil_1994	1
GC_00003384	IB_GCA_0041218951_Brazil_1991	1
GC_00003384	IB_GCA_0041219051_Brazil_1992	1
GC_00003384	IB_GCA_0041219151_Brazil_1992	1
GC_00003384	IB_GCA_0041219451_Brazil_1993	1
GC_00003384	IB_GCA_0041219651_Brazil_1994	1
GC_00003384	IB_GCA_0041220051_Brazil_1993	1
GC_00003384	IB_GCA_0041220151_Brazil_1994	1
GC_00003384	IB_GCA_0041220251_Brazil_1991	1
GC_00003384	IB_GCA_0041232051_Brazil_1993	1
GC_00003384	IB_GCA_0041232151_Brazil_1993	1
GC_00003384	IB_GCA_0041232251_Brazil_1992	1
GC_00003384	IB_GCA_0097282251_Russia_1987	0
GC_00003384	IB_GCA_0130850751_Peru_1991	1
GC_00003384	IB_GCA_0130851051_Peru_1991	1
GC_00003384	IB_GCA_0154828251_Peru_1991	1
GC_00003384	IB_GCA_0157543751_Bangladesh_1983	0
GC_00003384	IB_GCA_0157547451_Bangladesh_1993	0
GC_00003384	IB_GCA_0157548351_Japan_1980	0
GC_00003384	IB_GCA_0157549051_Japan_1980	0
GC_00003384	Reference	1
GC_00003384	SA_INS1T0055A96_Peru_1996	1
GC_00003384	SA_INS1T0056A96_Peru_1996	1
GC_00003384	SA_INS1T0057A96_Peru_1996	1
GC_00003384	SA_INS1T0143A96_Peru_1996	1
GC_00003384	SA_INS1T0207A92_Peru_1991	0
GC_00003384	SA_INS1T074A94_Peru_1994	1
GC_00003384	SA_INS1T081A94_Peru_1994	1
GC_00003384	SA_INS1T093A94_Peru_1994	1
GC_00003384	SA_INS1T094A94_Peru_1994	1
GC_00003384	SA_INS1T112A13_Peru_2013	1
GC_00003384	SA_INS1T120A93_Peru_1992	1
GC_00003384	SA_INS1T1336A92_Peru_1992	1
GC_00003384	SA_INS1T1345A92_Peru_1992	1
GC_00003384	SA_INS1T1357A92_Peru_1992	1
GC_00003384	SA_INS1T144A93_Peru_1993	1
GC_00003384	SA_INS1T156A91_Peru_2015	1
GC_00003384	SA_INS1T1600A92_Peru_1992	1
GC_00003384	SA_INS1T1618A92_Peru_1992	1
GC_00003384	SA_INS1T1688A98_Peru_1998	1
GC_00003384	SA_INS1T171A95_Peru_1995	1
GC_00003384	SA_INS1T174A91_Peru_1991	1
GC_00003384	SA_INS1T1758A98_Peru_1998	1
GC_00003384	SA_INS1T177A91_Peru_1991	1
GC_00003384	SA_INS1T180A91_Peru_1991	1
GC_00003384	SA_INS1T1824A98_Peru_1998	1
GC_00003384	SA_INS1T183A91_Peru_1991	1
GC_00003384	SA_INS1T188A91_Peru_1991	1
GC_00003384	SA_INS1T188A93_Peru_1992	1
GC_00003384	SA_INS1T2050A98_Peru_1998	1
GC_00003384	SA_INS1T230A95_Peru_1995	1
GC_00003384	SA_INS1T236A91_Peru_1991	1
GC_00003384	SA_INS1T239A91_Peru_1991	1
GC_00003384	SA_INS1T2444A92_Peru_1992	1
GC_00003384	SA_INS1T253A91_Peru_1991	1
GC_00003384	SA_INS1T258A91_Peru_1991	1
GC_00003384	SA_INS1T2658A92_Peru_1992	1
GC_00003384	SA_INS1T346A95_Peru_1995	1
GC_00003384	SA_INS1T357A91_Peru_1991	1
GC_00003384	SA_INS1T372A91_Peru_1991	1
GC_00003384	SA_INS1T3852A92_Peru_1992	1
GC_00003384	SA_INS1T3867A92_Peru_1992	1
GC_00003384	SA_INS1T3887A92_Peru_1992	1
GC_00003384	SA_INS1T419A91_Peru_1991	1
GC_00003384	SA_INS1T457A10_Argentina_2010	1
GC_00003384	SA_INS1T4598A92_Peru_1992	1
GC_00003384	SA_INS1T485A93_Peru_1993	1
GC_00003384	SA_INS1T6014A92_Peru_1992	1
GC_00003384	SA_INS1T6189A92_Peru_1992	1
GC_00003384	SA_INS1T6195A92_Peru_1992	1
GC_00003384	SA_INS1T6201A92_Peru_1992	1
GC_00003384	SA_INS1T6208A92_Peru_1992	1
GC_00003384	SA_INS1T6211A92_Peru_1992	1
GC_00003384	SA_INS1T663A93_Peru_1993	1
GC_00003384	SA_INS1T6910A92_Peru_1992	1
GC_00003384	SA_INS1T777A93_Peru_1993	1
GC_00003384	SA_INS1T8232A92_Peru_1992	1
GC_00003384	SA_INS1T8238A92_Peru_1992	1
GC_00003384	SA_INS1T8240A92_Peru_1992	1
GC_00003384	SA_INS1T8242A92_Peru_1992	1
GC_00003384	SA_INS1T8244A92_Peru_1992	1
GC_00003384	SA_INS1T8276A92_Peru_1992	1
GC_00003384	SA_INS1T8643A92_Peru_1992	1
GC_00003384	SA_INS1T934A93_Peru_1993	1
GC_00003384	SA_INS2T0025A96_Peru_1996	1
GC_00003384	SA_INS2T008A03_Peru_2002	1
GC_00003384	SA_INS2T018A99_Peru_1998	1
GC_00003384	SA_INS2T0883A93_Peru_1993	1
GC_00003384	SA_INS2T090A99_Peru_1999	1
GC_00003384	SA_INS2T1028A92_Peru_1992	1
GC_00003384	SA_INS2T106A95_Peru_1995	1
GC_00003384	SA_INS2T121A95_Peru_1995	1
GC_00003384	SA_INS2T1300A91_Peru_1991	1
GC_00003384	SA_INS2T177A99_Peru_1999	1
GC_00003384	SA_INS2T2224A92_Peru_1992	1
GC_00003384	SA_INS2T222A91_Peru_1991	1
GC_00003384	SA_INS2T2230A92_Peru_1992	1
GC_00003384	SA_INS2T2231A92_Peru_1992	1
GC_00003384	SA_INS2T2245A92_Peru_1992	1
GC_00003384	SA_INS2T2246A92_Peru_1992	0
GC_00003384	SA_INS2T2247A92_Peru_1992	1
GC_00003384	SA_INS2T229A94_Peru_1994	1
GC_00003384	SA_INS2T232A94_Peru_1994	1
GC_00003384	SA_INS2T2432A98_Peru_1998	1
GC_00003384	SA_INS2T2435A98_Peru_1998	1
GC_00003384	SA_INS2T258A99_Peru_1999	1
GC_00003384	SA_INS2T271A94_Peru_1994	1
GC_00003384	SA_INS2T3110A98_Peru_1998	1
GC_00003384	SA_INS2T3116A98_Peru_1998	1
GC_00003384	SA_INS2T421A91_Peru_1991	1
GC_00003384	SA_INS2T422A91_Peru_1991	1
GC_00003384	SA_INS2T424A91_Peru_1991	1
GC_00003384	SA_INS2T4803A92_Peru_1992	1
GC_00003384	SA_INS2T4804A92_Peru_1992	1
GC_00003384	SA_INS2T4860A92_Peru_1992	1
GC_00003384	SA_INS2T4867A92_Peru_1992	1
GC_00003384	SA_INS2T509A03_Peru_2003	1
GC_00003384	SA_INS2T549A95_Peru_1995	1
GC_00003384	SA_INS2T7566A92_Peru_1992	0
GC_00003384	SA_INS2T7577A92_Peru_1992	1
GC_00003384	SA_INS2T844A91_Peru_1991	1
GC_00003384	SA_INS3T225A95_Peru_1995	1
GC_00003384	SA_INS3T226A95_Peru_1995	1
GC_00003384	SA_INS4T148A99_Peru_1999	1
GC_00003384	SA_INS5T580A14_Peru_2014	1
GC_00003384	SA_INS5T8543A92_Peru_1992	1
GC_00003384	SA_VC135_Brazil_1993	1
GC_00003384	SA_VC153_Brazil_1991	1
GC_00003384	SA_VC20_Brazil_1993	1
GC_00003384	SA_VC394_Brazil_1996	1
GC_00003384	SA_VC450_Brazil_1993	1
GC_00003384	SA_VC50_Brazil_1995	1
GC_00003384	SA_VC588_Brazil_1999	1
GC_00003384	SA_VC641_Brazil_1996	1
GC_00003384	SA_VC655_Brazil_1994	1
GC_00003384	SA_VC669_Brazil_1993	1
GC_00003384	SA_VC726_Brazil_1992	1
GC_00003384	SA_VC894_Brazil_1994	1
GC_00003384	SA_VC897_Brazil_1994	1
GC_00003384	SA_VC898_Brazil_1993	1
GC_00003384	SA_VC905_Brazil_1992	1
GC_00003384	SA_VC908_Brazil_1991	0
GC_00003384	SC_ERR018146_Colombia_1992	1
GC_00003384	SC_ERR018148_Colombia_1992	1
GC_00003384	SC_ERR018149_Colombia_1992	1
GC_00003384	SC_ERR018156_Colombia_1992	1
GC_00003384	SC_ERR018158_Argentina_1992	1
GC_00003384	SC_ERR018159_Mexico_1991	1
GC_00003384	SC_ERR018160_Bolivia_1992	1
GC_00003384	SC_ERR018161_Mexico_1991	1
GC_00003384	SC_ERR018167_Argentina_1992	1
GC_00003384	SC_ERR018168_Argentina_1992	1
GC_00003384	SC_ERR018169_Vietnam_1989	0
GC_00003384	SC_ERR018171_Vietnam_1989	0
GC_00003384	SC_ERR018177_Bangladesh_1987	0
GC_00003384	SC_ERR018181_Argentina_1993	1
GC_00003384	SC_ERR018189_India_1980	0
GC_00003384	SC_ERR025378_Peru_1991	1
GC_00003384	SC_ERR025381_Angola_1989	1
GC_00003384	SC_ERR025383_Bangladesh_1979	0
GC_00003384	SC_ERR025388_Peru_1991	1
GC_00003384	SC_ERR025389_Peru_1991	1
GC_00003384	SC_ERR025390_Peru_1991	1
GC_00003384	SC_ERR044780_Mexico_1991	1
GC_00003384	SC_ERR044782_Mexico_1992	1
GC_00003384	SC_ERR044784_Mexico_1993	1
GC_00003384	SC_ERR044787_Mexico_1994	1
GC_00003384	SC_ERR044788_Mexico_1995	1
GC_00003384	SC_ERR108518_Mexico_1999	0
GC_00003384	SC_ERR108522_Mexico_2000	0
GC_00003384	SC_ERR108535_Mexico_2004	1
GC_00003384	SC_ERR108536_Mexico_2005	1
GC_00003384	SC_ERR108537_Mexico_2006	1
GC_00003384	SC_ERR163233_Mexico_1991	1
GC_00003384	SC_ERR163234_Mexico_1991	1
GC_00003384	SC_ERR163235_Mexico_1991	1
GC_00003384	SC_ERR163236_Mexico_1991	1
GC_00003384	SC_ERR163237_Mexico_1991	1
GC_00003384	SC_ERR163238_Mexico_1992	1
GC_00003384	SC_ERR163239_Mexico_1992	1
GC_00003384	SC_ERR163245_Mexico_2004	1
GC_00003384	SC_ERR163246_Mexico_2004	1
GC_00003384	SC_ERR163247_Mexico_2004	1
GC_00003384	SC_ERR163248_Mexico_2004	1
GC_00003384	SC_ERR163249_Mexico_2007	1
GC_00003384	SC_ERR163253_Mexico_2008	1
GC_00003384	SC_ERR163254_Mexico_2008	1
GC_00003384	SC_ERR163255_Mexico_2008	1
GC_00003384	SC_ERR163256_Mexico_2008	1
GC_00003384	SC_ERR163259_Mexico_2010	1
GC_00003384	SC_ERR163260_Mexico_2010	1
GC_00003384	SC_ERR163263_Mexico_2010	1
GC_00003384	SC_ERR163268_Mexico_2010	1
GC_00003384	SC_ERR163271_Mexico_2010	1
GC_00003384	SC_ERR1877619_Uganda_1992	1
GC_00003384	SC_ERR1877636_Uganda_1992	1
GC_00003384	SC_ERR1879384_Cote_dIvoire_1988	1
GC_00003384	SC_ERR1879435_Cote_dIvoire_1988	1
GC_00003384	SC_ERR1879535_Cote_dIvoire_1988	1
GC_00003384	SC_ERR1879542_Cote_dIvoire_1988	1
GC_00003384	SC_ERR1879552_Sao_Tome_1989	1
GC_00003384	SC_ERR1879554_French_Guiana_1993	1
GC_00003384	SC_ERR1879571_Sri_Lanka_1981	0
GC_00003384	SC_ERR1879578_French_Guiana_1994	1
GC_00003384	SC_ERR1879579_Ecuador_1995	1
GC_00003384	SC_ERR1879657_Nigeria_1997	1
GC_00003384	SC_ERR2008340_Mexico_1991	1
GC_00003384	SC_ERR2008343_Mexico_1991	1
GC_00003384	SC_ERR2008344_Mexico_1991	1
GC_00003384	SC_ERR2008345_Mexico_1991	1
GC_00003384	SC_ERR2008346_Mexico_1991	1
GC_00003384	SC_ERR2008347_Mexico_1991	1
GC_00003384	SC_ERR2008348_Mexico_1992	1
GC_00003384	SC_ERR2008349_Mexico_1992	1
GC_00003384	SC_ERR2008350_Mexico_1992	1
GC_00003384	SC_ERR2008352_Mexico_1999	0
GC_00003384	SC_ERR2008358_Mexico_1992	1
GC_00003384	SC_ERR2008359_Mexico_1992	1
GC_00003384	SC_ERR2008360_Mexico_1992	1
GC_00003384	SC_ERR2008361_Mexico_1992	1
GC_00003384	SC_ERR2008362_Mexico_1992	1
GC_00003384	SC_ERR2008386_Mexico_1993	1
GC_00003384	SC_ERR2008389_Mexico_1993	1
GC_00003384	SC_ERR2008390_Mexico_1993	1
GC_00003384	SC_ERR2008412_Mexico_2000	0
GC_00003384	SC_ERR2008414_Mexico_2000	0
